x,y,yaw,s,km,kf
1.0,0.0,0.0,1.0,0.0,0.0
1.9586035867260723,0.978153221085162,0.6476588720083587,2.282952412800646,0.58295430450095,-0.8563862738042385
2.9718486351504314,0.9522274475039365,0.6115451490540535,3.173625308692654,0.30268036992594377,-0.08256885346491888
3.9983230063141484,0.997345850796965,0.609911003497865,4.143635966848304,0.18285180649416835,0.1421833645042573
2.0480183661911404,1.968127196194774,0.5601694586220853,3.1939907494765656,0.640362557501446,-1.4318002563912848
3.0617122316080043,1.986039301283944,0.654284552806776,3.889977018827871,0.43053314553812644,-0.7930932554075868
3.950451136729145,1.9598882831933553,0.5648935483248443,4.501377065539301,0.3050577648018931,-0.4520954446898893
2.972414190043716,0.99536906495849,0.00458062947576332,3.1737587232830506,0.3016718597870626,-1.0765534848128402
3.9301816318814504,0.9868043904074839,0.00913019887275679,4.037844737727526,0.18420948772371853,-0.6717081161137779
1.99333059983687,1.9983214949739312,-0.09582587952875565,3.1743485890971,0.6549865773868716,-1.6112031760480572
4.030561376296132,2.0230135525540605,0.04320513072227872,4.666895111796052,0.2944154886190286,-1.00668515620641
